nutrition,value,measure,food_product
Protein,0.14,G,almond
Total lipid (fat),0.311797752808989,G,almond
"Carbohydrate, by difference",0.0147450980392157,G,almond
"Fiber, total dietary",0.08046875,G,almond
"Calcium, Ca",0.266923076923077,MG,almond
"Iron, Fe",0.193888888888889,MG,almond
"Magnesium, Mg",0.6642857142857139,MG,almond
"Phosphorus, P",0.4064,MG,almond
"Potassium, K",0.15914893617021303,MG,almond
"Sodium, Na",0.0986956521739131,MG,almond
"Zinc, Zn",0.29909090909090896,MG,almond
"Copper, Cu",1.03777777777778,MG,almond
"Selenium, Se",0.0436363636363636,UG,almond
"Vitamin A, RAE",0.0,UG,almond
Vitamin E (alpha-tocopherol),1.6133333333333302,MG,almond
Vitamin D (D2 + D3),0.0,UG,almond
"Vitamin C, total ascorbic acid",0.0,MG,almond
Thiamin,0.0341666666666667,MG,almond
Riboflavin,0.722307692307692,MG,almond
Niacin,0.1975,MG,almond
Vitamin B-6,0.0605882352941176,MG,almond
Vitamin B-12,0.0,UG,almond
"Choline, total",0.0947272727272727,MG,almond
Vitamin K (phylloquinone),0.0,UG,almond
"Folate, DFE",0.1325,UG,almond
Cholesterol,0.0,MG,almond
"Fatty acids, total saturated",0.0545833333333333,G,almond
Protein,0.0,G,amaretto
Total lipid (fat),0.0561797752808989,G,amaretto
"Carbohydrate, by difference",0.0261176470588235,G,amaretto
"Fiber, total dietary",0.0,G,amaretto
"Calcium, Ca",0.0,MG,amaretto
"Iron, Fe",0.0,MG,amaretto
"Potassium, K",0.0,MG,amaretto
"Sodium, Na",0.0291304347826087,MG,amaretto
"Sugars, added",0.222,G,amaretto
Cholesterol,0.0,MG,amaretto
"Fatty acids, total saturated",0.02775,G,amaretto
Protein,0.19266666666666699,G,anchovy
Total lipid (fat),0.0545505617977528,G,anchovy
"Carbohydrate, by difference",0.0,G,anchovy
"Fiber, total dietary",0.0,G,anchovy
"Calcium, Ca",0.178461538461538,MG,anchovy
"Iron, Fe",0.25722222222222196,MG,anchovy
"Magnesium, Mg",0.16428571428571398,MG,anchovy
"Phosphorus, P",0.2016,MG,anchovy
"Potassium, K",0.11574468085106401,MG,anchovy
"Sodium, Na",1.5956521739130403,MG,anchovy
"Zinc, Zn",0.22181818181818203,MG,anchovy
"Copper, Cu",0.3766666666666671,MG,anchovy
"Selenium, Se",1.23818181818182,UG,anchovy
"Vitamin A, RAE",0.0133333333333333,UG,anchovy
Vitamin E (alpha-tocopherol),0.222,MG,anchovy
Vitamin D (D2 + D3),0.085,UG,anchovy
"Vitamin C, total ascorbic acid",0.0,MG,anchovy
Thiamin,0.065,MG,anchovy
Riboflavin,0.279230769230769,MG,anchovy
Niacin,1.24375,MG,anchovy
Vitamin B-6,0.11941176470588198,MG,anchovy
Vitamin B-12,0.3666666666666671,UG,anchovy
"Choline, total",0.15454545454545499,MG,anchovy
Vitamin K (phylloquinone),0.10083333333333301,UG,anchovy
"Folate, DFE",0.0325,UG,anchovy
Cholesterol,0.28333333333333305,MG,anchovy
"Fatty acids, total saturated",0.0183333333333333,G,anchovy
"Calcium, Ca",0.496923076923077,MG,anise
Total lipid (fat),0.0893258426966292,G,anise
"Carbohydrate, by difference",0.0392156862745098,G,anise
"Potassium, K",0.306382978723404,MG,anise
"Zinc, Zn",0.48181818181818203,MG,anise
Niacin,0.19125,MG,anise
Pantothenic acid,0.1594,MG,anise
Protein,0.117333333333333,G,anise
"Fiber, total dietary",0.1140625,G,anise
"Vitamin C, total ascorbic acid",0.23333333333333303,MG,anise
Thiamin,0.28333333333333305,MG,anise
Riboflavin,0.223076923076923,MG,anise
Vitamin B-12,0.0,UG,anise
Cholesterol,0.0,MG,anise
"Iron, Fe",0.00205555555555556,MG,anise
"Magnesium, Mg",0.404761904761905,MG,anise
"Phosphorus, P",0.35200000000000004,MG,anise
"Sodium, Na",0.00695652173913044,MG,anise
"Copper, Cu",1.01111111111111,MG,anise
"Manganese, Mn",1.0,MG,anise
"Selenium, Se",0.0909090909090909,UG,anise
"Fatty acids, total saturated",0.00488333333333333,G,anise
"Folate, DFE",0.025,UG,anise
Vitamin B-6,0.38235294117647106,MG,anise
"Vitamin A, RAE",0.0177777777777778,UG,anise
Vitamin D (D2 + D3),0.0,UG,anise
"Calcium, Ca",0.0,MG,apple
"Iron, Fe",0.0127777777777778,MG,apple
"Sodium, Na",0.0,MG,apple
"Vitamin C, total ascorbic acid",0.0344444444444444,MG,apple
Cholesterol,0.0,MG,apple
